"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 상태","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","추천여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","S100120260121153329","202601164539727","국가기술자격","[HD]워드프로세서 자격증 따기 - 필기 (2024 개정)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153329.png","","","https://mp.itgo.co.kr/mp4/M010418/01.mp4","S100120260121153329","144698","1"
"ASP00001","S100120260121153142","202601169868422","리더십","리더의 일","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153142.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153142/01.mp4/playlist.m3u8","S100120260121153142","144028","1"
"ASP00001","S100120260121153336","202601166381796","디지털 업무생산성","[HD]한번에 합격하는 ITQ Word 2021 (2024 개정) Part.2 기출문제풀이","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153336.png","","","https://mp.itgo.co.kr/mp4/M080216/01.mp4","S100120260121153336","145296","1"
"ASP00001","S100120260121153393","202601162998648","민간자격","[HD]GTQ 포토샵 기출 문제 (2025 대비) 1급 Part.1 25년2월 시행 - A형","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153393.png","","","https://mp.itgo.co.kr/mp4/N070114/01.mp4","S100120260121153393","145324","1"
"ASP00001","S100120260121153307","202601169333472","콘텐츠 제작","[업스킬] 초보자도 따라하기 쉬운 영상 편집 올인원(프리미어 프로&amp;애프터이펙트)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153307.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153307/01.mp4/playlist.m3u8","S100120260121153307","145758","1"
"ASP00001","S100120260121153310","202601162998648","민간자격","[HD]전산세무 2급 이론 2025 소득세 Part.2","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153310.png","","","https://mp.itgo.co.kr/mp4/N020411/01.mp4","S100120260121153310","144795","1"
"ASP00001","S100120260121153361","202601164539727","국가기술자격","[HD]컴퓨터활용능력 2급 실기 - 기출문제 풀이 (2024개정 대비)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153361.png","","","https://mp.itgo.co.kr/mp4/M080215/01.mp4","S100120260121153361","145042","1"
"ASP00001","S100120260121153145","202601169868422","리더십","집단의 힘","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153145.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153145/01.mp4/playlist.m3u8","S100120260121153145","144264","1"
"ASP00001","S100120260121153417","202601167257866","소프트웨어 개발","[HD]구글 코랩(Google Colab) 기반의 파이썬(Python) 프로그래밍 입문 Part.2","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153417.png","","","https://mp.itgo.co.kr/mp4/M010410/01.mp4","S100120260121153417","144615","1"
"ASP00001","S100120260121153096","202601164583934","금융/재테크","국민연금 수령액을 높이는 방법","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153096.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153096/01.mp4/playlist.m3u8","S100120260121153096","148071","1"
