교육명,교육목적내용,교육시작일,교육종료일,교육시간,교육요일,강의실정보내용,교육금액,재료금액,정원수,모집시작일,모집마감일,수강자격연령,수강자격성별,교육상태명,교육순번
4060중장년 커리어 역경과 위기극복 프로그램(온라인 유튜브 라이브 방송),커리어 역경과 위기극복 프로그램,2020-11-20T00:00:00,2020-11-20T00:00:00,14:00~17:00,금요일,유튜브 온라인 라이브 방송,무료,(재료비 무료),50,2020-11-06T00:00:00,2020-11-19T00:00:00,40세 ~ 70세,성별 제한없음,교육마감,1000002078
10월 22일(목) 현직 대기업 인사담당자와 함께하는 청년(2030) 온라인 면접특강 및 모의면접,,2020-10-22T00:00:00,2020-10-22T00:00:00,14:00~17:00,목요일,구글미트(Goole Meet),무료,(재료비 무료),50,2020-09-29T00:00:00,2020-10-22T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000002053
[10월 20일~21일] 4060 중장년 온라인 취업심화교육(유튜브 라이브 방송),,2020-10-20T00:00:00,2020-10-21T00:00:00,14:00~17:00,"화요일,수요일",유튜브 온라인 라이브 강의,무료,(재료비 무료),50,2020-09-29T00:00:00,2020-10-20T00:00:00,40세 ~ 69세,성별 제한없음,교육마감,1000002052
10월 15일 [온라인] 청년취업특강(2030경력),,2020-10-15T00:00:00,2020-10-15T00:00:00,14:00~17:00,목요일,유투브(You Tube) 라이브 방송,무료,(재료비 무료),50,2020-09-29T00:00:00,2020-10-15T00:00:00,20세 ~ 42세,성별 제한없음,교육마감,1000002051
10월 13일 [온라인] 4050 중년 취업준비교육 (유튜브 라이브 방송),,2020-10-13T00:00:00,2020-10-13T00:00:00,14:00~17:00,화요일,유튜브(YOU TUBE)라이브 방송,무료,(재료비 무료),50,2020-09-29T00:00:00,2020-10-13T00:00:00,40세 ~ 59세,성별 제한없음,교육마감,1000002050
9월 24일 [온라인] 청년취업특강(2030신입),입사지원서 작성법 배우기 및 면접 노하우 익히기,2020-09-24T00:00:00,2020-09-24T00:00:00,14:00~17:00,목요일,유투브(Yoy Tube) 라이브 방송,무료,(재료비 무료),50,2020-09-09T00:00:00,2020-09-20T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000002046
[취소- 코로나 확산 방지]2020년 5월 28일 4050취업준비교육,,2020-05-28T00:00:00,2020-05-28T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교청사),무료,(재료비 무료),20,2020-04-20T00:00:00,2020-05-27T00:00:00,40세 ~ 59세,성별 제한없음,교육마감,1000002015
[취소- 코로나 확산 방지]2020년 5월 21일 5060 재진입취업교육,,2020-05-21T00:00:00,2020-05-21T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교청사),무료,(재료비 무료),20,2020-04-20T00:00:00,2020-05-20T00:00:00,50세 ~ 69세,성별 제한없음,교육마감,1000002014
[취소: 코로나 확산 방지]3040 집단상담 프로그램,,2020-05-12T00:00:00,2020-05-14T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 교육장(서울시청 무교별관 3층),무료,(재료비 무료),15,2020-04-20T00:00:00,2020-05-12T00:00:00,29세 ~ 49세,성별 제한없음,교육마감,1000002013
3040(경력직) 취업특강,경력자 구직전략 수립/경력기반 입사지원서 작성법,2020-05-07T00:00:00,2020-05-07T00:00:00,13:00~16:00,목요일,서울일자리플러스센터 (서울시청 무교별관 3층),무료,(재료비 무료),20,2020-04-20T00:00:00,2020-05-07T00:00:00,25세 ~ 49세,성별 제한없음,교육마감,1000002012
[취소-코로나 확산방지]2020년 3월 31일 5060토크취업특강(효과적인 직업정보 탐색과 지원서류 작성법!),,2020-03-31T00:00:00,2020-03-31T00:00:00,09:30~12:30,화요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2020-02-13T00:00:00,2020-03-27T00:00:00,50세 ~ 69세,성별 제한없음,교육마감,1000002005
[취소-코로나 확산방지]2020년 3월 4050취업심화교육(함께 끌어 올리는 취업자신감! 3일간),중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2020-03-24T00:00:00,2020-03-26T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청 무교별관),무료,(재료비 무료),13,2020-02-13T00:00:00,2020-03-20T00:00:00,40세 ~ 55세,성별 제한없음,교육마감,1000002004
[교육취소-코로나 확산방지를 위해 취소합니다] 2020년 3월 5일 청년취업특강(2030경력),청년층(2030)의 채용시장의 이해를 돕고 효과적인 구직시장 접근 전략 및 취업스킬 함양을 통한 취업 지원,2020-03-05T00:00:00,2020-03-05T00:00:00,13:00~16:00,목요일,서울일자리센터 교육장,무료,(재료비 무료),20,2020-02-12T00:00:00,2020-03-02T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000002003
2020년 2월 27일 4050토크취업특강(4050세대 채용트렌드 분석과 지원서류 작성법),,2020-02-27T00:00:00,2020-02-27T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2020-01-28T00:00:00,2020-02-26T00:00:00,40세 ~ 59세,성별 제한없음,교육마감,1000001988
2020년 2월 25일 청년취업특강(2030신입),청년층 채용동향 이슈 파악 및 직무역량 도출을 통한 자기소개서 작성,2020-02-25T00:00:00,2020-02-25T00:00:00,13:00~16:00,화요일,서울일자리센터 교육장,무료,(재료비 무료),20,2020-01-28T00:00:00,2020-02-21T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000001987
2019년 11월 12일 4050취업준비교육,,2019-11-12T00:00:00,2019-11-12T00:00:00,09:30~12:30,화요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2019-10-16T00:00:00,2019-11-08T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001946
