교육명,교육목적내용,교육시작일,교육종료일,교육시간,교육요일,강의실정보내용,교육금액,재료금액,정원수,모집시작일,모집마감일,수강자격연령,수강자격성별,교육상태명,교육순번
2018년 10월 5060 취업심화교육 : 3모작은 내 손안에 프로그램,중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-10-23T00:00:00,2018-10-25T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2018-09-13T00:00:00,2018-10-20T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001771
2018년 10월 청년취업특강,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-10-18T00:00:00,2018-10-18T00:00:00,14:00~17:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2018-09-20T00:00:00,2018-10-17T00:00:00,18세 ~ 35세,성별 제한없음,교육마감,1000001769
2018년 9월 20일 청년 취업특강,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-09-20T00:00:00,2018-09-20T00:00:00,14:00~17:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2018-08-20T00:00:00,2018-09-19T00:00:00,20세 ~ 38세,성별 제한없음,교육마감,1000001759
2018년 9월 19일 5060 취업준비교육(재진입지원),구직자 취업역량 강화를 통한 취업성공률 향상,2018-09-19T00:00:00,2018-09-19T00:00:00,09:30~12:30,수요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-08-14T00:00:00,2018-09-17T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001757
2018년 9월 11~13일 청년 집단상담프로그램[청년 취업역량 맞춤형 프로그램],미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-09-11T00:00:00,2018-09-13T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울시 청년일자리카페 세미나실(서울종합고용노동청 1층),무료,(재료비 무료),15,2018-08-20T00:00:00,2018-09-11T00:00:00,20세 ~ 35세,성별 제한없음,교육마감,1000001758
"2018년 9월 5일 4050 취업준비교육(이,전직지원)",구직자 취업역량 강화를 통한 취업성공률 향상,2018-09-05T00:00:00,2018-09-05T00:00:00,09:30~12:30,수요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-08-13T00:00:00,2018-09-03T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001756
2018년 8월 30일 청년취업특강(2030신규입직),미취업 청년구직자들의 취업역량 강화를 통해 취업성공률을 향상시키고자 함,2018-08-30T00:00:00,2018-08-30T00:00:00,14:00~16:00,목요일,서울시청년일자리카페 다목적홀(장교빌딩 1층),무료,(재료비 무료),50,2018-07-23T00:00:00,2018-08-30T00:00:00,20세 ~ 35세,성별 제한없음,교육마감,1000001743
2018 서울시 잡콘서트,"직무분석, 직무역량 키워드 찾기",2018-08-28T00:00:00,2018-08-28T00:00:00,14:00~17:00,화요일,서울시청년일자리센터 세미나룸,무료,(재료비 무료),50,2018-08-21T00:00:00,2018-08-28T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000001764
2018 서울시 잡콘서트,,2018-08-27T00:00:00,2018-08-27T00:00:00,14:00~17:00,월요일,서울시청년일자리센터 다목적홀,무료,(재료비 무료),100,2018-08-21T00:00:00,2018-08-27T00:00:00,20세 ~ 35세,성별 제한없음,교육마감,1000001763
2018년 8월 5060 취업심화교육,중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-08-21T00:00:00,2018-08-23T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2018-07-20T00:00:00,2018-08-19T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001749
2018년 7월 청년 집단상담 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-07-24T00:00:00,2018-07-26T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2018-06-12T00:00:00,2018-07-23T00:00:00,18세 ~ 35세,성별 제한없음,교육마감,1000001711
2018년 7월 19일 5060 취업준비교육(재진입지원),구직자 취업역량 강화를 통한 취업성공률 향상,2018-07-19T00:00:00,2018-07-19T00:00:00,10:00~13:00,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-06-11T00:00:00,2018-07-17T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001709
2018년 7월 청년취업특강(2030경력),미취업 경력 청년구직자들의 취업역량 강화를 통해 취업성공률을 향상시키고자 함,2018-07-12T00:00:00,2018-07-12T00:00:00,14:00~17:00,목요일,서울시 청년일자리카페 세미나실(서울종합고용노동청 1층),무료,(재료비 무료),20,2018-06-12T00:00:00,2018-07-11T00:00:00,20세 ~ 39세,성별 제한없음,교육마감,1000001710
"2018년 7월 5일 4050 취업준비교육(이,전직지원)",구직자 취업역량 강화를 통한 취업성공률 향상,2018-07-05T00:00:00,2018-07-05T00:00:00,10:00~13:00,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-06-11T00:00:00,2018-07-03T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001708
2018년 6월 청년취업특강(2030신규입직),미취업 신입 청년구직자들의 취업역량 강화를 통해 취업성공률을 향상시키고자 함,2018-06-28T00:00:00,2018-06-28T00:00:00,10:00~13:00,목요일,서울시 청년일자리카페 세미나실(서울종합고용노동청 1층),무료,(재료비 무료),20,2018-05-23T00:00:00,2018-06-27T00:00:00,20세 ~ 35세,성별 제한없음,교육마감,1000001689
2018년 6월 4050[여성] 취업심화교육,중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-06-19T00:00:00,2018-06-21T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2018-05-23T00:00:00,2018-06-18T00:00:00,40세 ~ 59세,여성,교육마감,1000001690
2018년 5월 17일 5060 취업준비교육(재진입지원),,2018-05-17T00:00:00,2018-05-17T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-04-23T00:00:00,2018-05-16T00:00:00,50세 ~ 67세,성별 제한없음,교육마감,1000001671
2018년 5월 청년 집단상담 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-05-15T00:00:00,2018-05-17T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2018-04-20T00:00:00,2018-05-11T00:00:00,18세 ~ 35세,성별 제한없음,교육마감,1000001670
"2018년 5월3일 4050 취업준비교육(이,전직지원)",구직자 취업역량 강화를 통한 취업성공률 향상,2018-05-03T00:00:00,2018-05-03T00:00:00,10:00~13:00,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-04-10T00:00:00,2018-05-02T00:00:00,40세 ~ 59세,성별 제한없음,교육마감,1000001660
2018년 4월 청년 면접역량 강화를 위한  모의면접,면접역량 강화를 통해 취업성공률을 높이고자 함,2018-04-19T00:00:00,2018-04-19T00:00:00,14:00~17:00,목요일,서울시청년일자리센터 세미나실(서울일자리카페/장교빌딩1층),무료,(재료비 무료),10,2018-03-28T00:00:00,2018-04-17T00:00:00,20세 ~ 35세,성별 제한없음,교육마감,1000001651
2018년 4월(5060 취업심화교육),중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-04-17T00:00:00,2018-04-19T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 취업교육장(서울시청 무교별관),무료,(재료비 무료),13,2018-03-14T00:00:00,2018-04-16T00:00:00,50세 ~ 63세,성별 제한없음,교육마감,1000001639
2018년 4월(4050 취업심화교육),중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-04-03T00:00:00,2018-04-05T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 취업교육장(서울시청 무교별관),무료,(재료비 무료),13,2018-03-14T00:00:00,2018-04-02T00:00:00,,,교육마감,1000001638
2018년 3월 22일 토크취업특강(Ⅱ.4050 지원서류 작성법),중장년 구직역량 강화를 통해 취업성공률 향상,2018-03-22T00:00:00,2018-03-22T00:00:00,10:00~12:00,목요일,서울일자리센터(서울시청 무교별관),무료,(재료비 무료),20,2018-02-22T00:00:00,2018-03-21T00:00:00,40세 ~ 61세,성별 제한없음,교육마감,1000001630
2018년 3월 청년 집단상담 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-03-20T00:00:00,2018-03-22T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울시청년일자리카페 세미나실(서울종합고용노동청 1층),무료,(재료비 무료),15,2018-02-22T00:00:00,2018-03-16T00:00:00,18세 ~ 35세,성별 제한없음,교육마감,1000001632
2018년 3월 청년취업특강(2030경력),미취업 경력 청년구직자들의 취업역량 강화를 통해 취업성공률을 향상시키고자 함,2018-03-15T00:00:00,2018-03-15T00:00:00,14:00~17:00,목요일,서울시 청년일자리카페 세미나실(서울종합고용노동청 1층),무료,(재료비 무료),20,2018-02-19T00:00:00,2018-03-14T00:00:00,20세 ~ 38세,성별 제한없음,교육마감,1000001629
2018년 3월 8일 토크취업특강(Ⅰ.4050 비전설계와 경력개발),구직역량 강화를 통해 취업성공률 향상,2018-03-08T00:00:00,2018-03-08T00:00:00,10:00~12:00,목요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2018-02-06T00:00:00,2018-03-07T00:00:00,40세 ~ 60세,성별 제한없음,교육마감,1000001618
2018년 2월 청년취업특강(2030신규입직),미취업 청년구직자들의 취업역량 강화를 통해 취업성공률을 향상시키고자 함,2018-02-22T00:00:00,2018-02-22T00:00:00,14:00~16:00,목요일,서울시청년일자리카페 다목적홀(장교빌딩 1층),무료,(재료비 무료),50,2018-01-22T00:00:00,2018-02-21T00:00:00,18세 ~ 35세,성별 제한없음,교육마감,1000001610
