"조서관리코드","프로젝트코드","지자체","조서유형(구분)","이전 조서관리코드","최상위 조서관리코드","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000UTZ202306290054","11650PPL202412240005","서울특별시","폐지","11000UTZ202306290019","11000UTZ201803194457","특별계획구역","","","잠원동 66-2번지 일대","반포아파트지구 지구단위계획구역","13176.9","2","13176.9","0","11650NTC202412240006"
"11710UTZ202109030001","11710PPL202109030001","송파구","기정","11000UTZ201901100005","","지구단위계획구역","","","삼전동 7번지 일대","삼전지구단위계획구역","136002","","","136002","11710NTC202109030001"
"11000UTZ201205114076","11000PPL201201266393","서울특별시","폐지","11000UTZ200506024562","11000UTZ200506024562","특별계획구역","","","영등포구 문래동4가 41번지","","6947.4","2","6947.4","","11000NTC201201266393"
"11590UTZ202507170001","11590PPL202507170004","동작구","신설","","","지구단위계획구역","","","동작구 본동 402-1번지 일대","본동 402-1번지 일대 노들역세권 공공임대주택 건립관련 지구단위계획구역","0","1","21018.45","21018.45","11590NTC202511040001"
"11000UTZ200506304578","11000PPL200506308545","서울특별시","변경","11000UTZ200412274544","11000UTZ200412274544","지구단위계획구역","","","천호동 457-32,-39","천호지구 제1종지구단위계획","","","","244","11000NTC200506308545"
"11000UTZ200506304578","11000PPL200506308545","서울특별시","변경","11000UTZ200412274544","11000UTZ200412274544","지구단위계획구역","","","천호동 457-32,-39","천호지구 제1종지구단위계획","","","","244","11000NTC200506308545"
"11000UTZ200411204518","11000PPL200411207232","서울특별시","변경","","11000UTZ200411204518","지구단위계획구역","","","대조동 15-87","불광지구","480","","","348","11000NTC200411207232"
"11545UTZ202605040001","11545PPL202605040002","금천구","신설","","","지구단위계획구역","","","금천구 독산동 1072번지 일대","독산2구역 주택정비형 재개발사업","0","1","86184","86184","11545NTC202605040001"
"11000UTZ199611180839","11000PPL199611186490","서울특별시","신설","","11000UTZ199611180839","지구단위계획구역","","","서대문구 창천동72일대","신촌부도심 도시설계지구","0","","","11560","11000NTC199611186490"
"11000UTZ202306290017","11000PPL202306290003","서울특별시","신설","","","특별계획구역","","","잠원동 65-32번지","반포아파트지구 지구단위계획구역","0","1","35010.4","35010.4","11000NTC202310040001"
"11000UTZ200102073780","11530PPL202306070003","서울특별시","변경","11000UTZ200102073779","11000UTZ199705061566","지구단위계획구역","","","구로구 개봉동 170일대","개봉역 지구단위계획구역","134212","","","134212","11530NTC202307240001"
"11000UTZ201303224102","11000PPL201212056690","서울특별시","변경","11000UTZ200911133830","11000UTZ200601203576","특별계획구역","","","고덕2단지 및 삼익그린12차아파트 부지(강동구 고덕동 217번지 일원)","고덕택지지구단위계획구역","246208.3","1","1.8","246210.1","11000NTC201212056690"
"11110UTZ202008280001","11110PPL202008280001","종로구","변경","","","지구단위계획구역","","","종로구 평동 222번지 일원","돈의문3 재정비촉진구역 지구단위계획구역","8844.4","","","8829.2","11110NTC202008280001"
"11000UTZ201707113415","11000PPL201401037058","서울특별시","변경","11000UTZ201707113416","11000UTZ201707113416","지구단위계획구역","","","중랑구 망우동, 신내동 일원","서울양원보금자리주택지구지구단위계획구역","384015","2","33890","350125","11000NTC201401037058"
"11000UTZ201107073962","11000PPL201012025681","서울특별시","신설","","11000UTZ201107073962","특별계획구역","","","용산구 갈월동 87-1 일대","","","1","7381","7381","11000NTC201012025681"
"11170UTZ202208010001","11170PPL202208010004","용산구","변경","11000UTZ201107073962","","특별계획구역","","","용산구 갈월동 92번지 일대","","17621","","","17658.8","11170NTC202208180001"
"11000UTZ201808280049","11000PPL201805242914","서울특별시","신설","","11000UTZ201808280049","특별계획구역","","","서초동 1376-4","양재지구중심 지구단위계획구역","","1","16618.4","16618.4","11000NTC201805242914"
"11740UTZ202204120002","11740PPL202509190002","강동구","폐지","11740UTZ202204120001","","지구단위계획구역","","","강동구 둔촌동 489번지 ","강동구 둔촌동 489번지 역세권 활성화사업  지구단위계획구역 ","2372","2","2372","0","11740NTC202509190002"
"11000UTZ202106150001","11000PPL202106150004","서울특별시","신설","","","지구단위계획구역","","","노원구 월계동 410-3번지","노원구 월계동 410-3번지 역세권 청년주택 지구단위계획구역 ","0","","","2132","11350NTC202106150005"
"11000UTZ202006180098","11470PPL202403070010","양천구","폐지","11000UTZ202006180077","11000UTZ202006180077","특별계획구역","","","신월동 1193-5번지 일원","신정재정비촉진지구 존치관리구역","3700.2","2","3700.2","0","11470NTC202403070007"
"11170UTZ202510300007","11170PPL202510300001","용산구","변경","","","특별계획구역","","","용산구 후암동 143-16 일대","용산 지구단위계획구역","321281.6","2","284670.1","36611.5","11170NTC202512240005"
"11000UTZ200601312234","11000PPL200512299421","서울특별시","신설","","11000UTZ200601312234","지구단위계획구역","","","서울시 강남구 세곡동 일원","서울세곡국민임대주택단지 지구단위계획구역","","","","263814","11000NTC200512299421"
"11000UTZ201412023238","11000PPL201406267246","서울특별시","변경","11000AGZ201105207020","11000UTZ201105207020","지구단위계획구역","","","양천구 목동, 신정동 일원","서울 목동 지구 택지개발사업 지구단위 계획구역","4368963","2","500","4368463","11000NTC201406267246"
"11000UTZ201108012836","11000PPL201105266101","서울특별시","변경","11000UTZ200812032497","11000UTZ199803181052","지구단위계획구역","","","금천구 가산동 140-1번지일대","가산 제1종지구단위계획구역","73757","","","73757","11000NTC201105266101"
"11000UTZ201108012836","11000PPL201105266101","서울특별시","변경","11000UTZ200812032497","11000UTZ199803181052","지구단위계획구역","","","금천구 가산동 140-1번지일대","가산 제1종지구단위계획구역","73757","","","73757","11000NTC201105266101"
"11000UTZ201611293376","11000PPL201611037926","서울특별시","폐지","11000UTZ201411183231","11000UTZ201411183231","지구단위계획구역","","","노원구 상계동 산117-3번지 일대","지구단위계획(소규모단절토지)","8880","2","8880","","11000NTC201611037926"
"11000UTZ201805314508","11000PPL201607140070","서울특별시","폐지","11000UTZ200812013730","11000UTZ200812013730","특별계획구역","","","봉천동 945-1 일원","","6836","2","6836","","11000NTC201607140070"
"11000UTZ199610140836","11000PPL199610146408","서울특별시","신설","","11000UTZ199610140836","지구단위계획구역","","","중랑구 면목동102,105,115,120일대","면목생활권중심 지구단위계획구역","0","","","113000","11000NTC199610146408"
"11000UTZ201808160012","11000PPL201801313088","서울특별시","변경","11000UTZ200601312238","11000UTZ200601312238","지구단위계획구역","","","중랑구 신내동 일원","신내2택지개발지구","210117","2","1480.6","208636.4","11000NTC201801313088"
"11000UTZ200801213659","11000PPL200801171740","서울특별시","신설","","11000UTZ200801213659","특별계획구역","","","용산구 한강로3가 63-379대","","0","1","4963.7","4963.7","11000NTC200801171740"
"11000UTZ199607130835","11000PPL199607136208","서울특별시","신설","11000UTZ200103223741","11000UTZ200103223741","지구단위계획구역","","","은평구 대조동29,9-15,불광동272,281번지일대","불광지구중심 도시설계지구","0","","","166010","11000NTC199607136208"
"11000UTZ199607130835","11000PPL199607136208","서울특별시","신설","11000UTZ200103223741","11000UTZ200103223741","지구단위계획구역","","","은평구 대조동29,9-15,불광동272,281번지일대","불광지구중심 도시설계지구","0","","","166010","11000NTC199607136208"
"11000UTZ201511303282","11000PPL201509037585","서울특별시","기정","11000UTZ200002251343","11000UTZ200002251343","지구단위계획구역","","","","서울신내택지개발지구지구단위계획구역","1030247.3","","","1030247.3","11000NTC201509037585"
"11000UTZ201511303282","11000PPL201509037585","서울특별시","기정","11000UTZ200002251343","11000UTZ200002251343","지구단위계획구역","","","","서울신내택지개발지구지구단위계획구역","1030247.3","","","1030247.3","11000NTC201509037585"
"11000UTZ201511303282","11000PPL201509037585","서울특별시","기정","11000UTZ200002251343","11000UTZ200002251343","지구단위계획구역","","","","서울신내택지개발지구지구단위계획구역","1030247.3","","","1030247.3","11000NTC201509037585"
"11000UTZ201511303282","11000PPL201509037585","서울특별시","기정","11000UTZ200002251343","11000UTZ200002251343","지구단위계획구역","","","","서울신내택지개발지구지구단위계획구역","1030247.3","","","1030247.3","11000NTC201509037585"
