"통계연도","자치구코드","자치구명","구분","구분명","소계","아동수_국공립","아동수_사회복지법인","아동수_법인단체등","아동수_민간","아동수_가정","아동수_부모협동","아동수_직장"
"2017","11620","관악","1","아동정원수","11841","4067","171","455","4485","2003","0","660"
"2017","11590","동작","3","정원충족률","90.77%","93.95%","89.32%","96.04%","87.82%","91.95%","81.63%","82.96%"
"2017","11590","동작","2","아동현원수","8847","3450","92","97","3424","1520","40","224"
"2017","11590","동작","1","아동정원수","9747","3672","103","101","3899","1653","49","270"
"2017","11560","영등포","3","정원충족률","86.45%","85.47%","86.18%","100.%","89.59%","91.34%","0.%","79.02%"
"2017","11560","영등포","1","아동정원수","12165","3359","123","40","4188","1848","0","2607"
"2017","11545","금천","3","정원충족률","85.21%","90.58%","97.76%","79.44%","81.92%","89.05%","71.43%","75.64%"
"2017","11545","금천","2","아동현원수","7110","2278","218","622","2786","870","10","326"
"2017","11545","금천","1","아동정원수","8344","2515","223","783","3401","977","14","431"
"2017","11530","구로","3","정원충족률","91.78%","94.63%","89.39%","84.99%","90.64%","95.37%","100.%","70.72%"
"2017","11530","구로","2","아동현원수","12577","3523","278","419","5172","2696","117","372"
"2017","11530","구로","1","아동정원수","13703","3723","311","493","5706","2827","117","526"
"2017","11500","강서","3","정원충족률","89.38%","92.05%","96.69%","88.24%","87.52%","93.45%","66.67%","66.54%"
"2017","11500","강서","2","아동현원수","15899","3912","263","150","7593","3611","26","344"
"2017","11500","강서","1","아동정원수","17788","4250","272","170","8676","3864","39","517"
"2017","11470","양천","3","정원충족률","87.89%","88.8%","0.%","72.16%","85.75%","91.89%","100.%","79.45%"
"2017","11470","양천","2","아동현원수","11397","3765","0","70","4662","2652","16","232"
"2017","11470","양천","1","아동정원수","12968","4240","0","97","5437","2886","16","292"
"2017","11440","마포","3","정원충족률","87.1%","89.19%","0.%","70.68%","91.25%","92.67%","92.81%","56.6%"
"2017","11440","마포","2","아동현원수","8236","3671","0","188","2471","1314","142","450"
"2017","11440","마포","1","아동정원수","9456","4116","0","266","2708","1418","153","795"
"2017","11410","서대문","3","정원충족률","88.73%","91.29%","0.%","80.77%","86.21%","95.59%","80.%","79.58%"
"2017","11410","서대문","2","아동현원수","6541","2567","0","126","2526","889","16","417"
"2017","11410","서대문","1","아동정원수","7372","2812","0","156","2930","930","20","524"
"2017","11380","은평","3","정원충족률","85.53%","92.%","95.96%","84.91%","84.42%","83.14%","87.18%","78.95%"
"2017","11380","은평","2","아동현원수","12236","2059","95","197","8479","1312","34","60"
"2017","11380","은평","1","아동정원수","14306","2238","99","232","10044","1578","39","76"
"2017","11350","노원","3","정원충족률","88.%","92.62%","87.77%","100.%","84.13%","89.47%","100.%","65.83%"
"2017","11350","노원","2","아동현원수","12483","3525","165","20","3869","4637","30","237"
"2017","11350","노원","1","아동정원수","14186","3806","188","20","4599","5183","30","360"
"2017","11320","도봉","3","정원충족률","85.41%","94.19%","66.67%","87.84%","81.72%","87.22%","82.05%","68.04%"
"2017","11320","도봉","2","아동현원수","8795","2139","22","65","4439","1966","32","132"
"2017","11320","도봉","1","아동정원수","10297","2271","33","74","5432","2254","39","194"
"2017","11305","강북","3","정원충족률","86.59%","92.47%","79.73%","84.08%","85.25%","82.44%","100.%","64.36%"
"2017","11305","강북","2","아동현원수","7635","2136","59","132","4479","737","27","65"
"2017","11305","강북","1","아동정원수","8817","2310","74","157","5254","894","27","101"
"2017","11290","성북","3","정원충족률","86.31%","88.99%","67.4%","88.46%","84.13%","90.15%","62.16%","66.23%"
"2017","11290","성북","2","아동현원수","10053","3224","122","912","3685","1885","23","202"
"2017","11290","성북","1","아동정원수","11648","3623","181","1031","4380","2091","37","305"
"2017","11260","중랑","3","정원충족률","88.24%","92.01%","69.3%","91.67%","86.14%","89.76%","0.%","87.97%"
"2017","11260","중랑","2","아동현원수","10467","2845","79","253","5451","1700","0","139"
"2017","11260","중랑","1","아동정원수","11862","3092","114","276","6328","1894","0","158"
"2017","11230","동대문","3","정원충족률","86.76%","88.89%","0.%","80.39%","85.31%","91.04%","0.%","66.38%"
"2017","11230","동대문","2","아동현원수","8167","2759","0","164","3385","1626","0","233"
"2017","11230","동대문","1","아동정원수","9413","3104","0","204","3968","1786","0","351"
"2017","11215","광진","3","정원충족률","86.4%","89.29%","0.%","45.58%","86.25%","89.6%","64.71%","70.45%"
"2017","11215","광진","2","아동현원수","7951","2092","0","67","4541","1103","55","93"
"2017","11215","광진","1","아동정원수","9203","2343","0","147","5265","1231","85","132"
"2017","11200","성동","3","정원충족률","88.12%","90.1%","0.%","78.22%","85.31%","95.06%","0.%","60.06%"
"2017","11200","성동","2","아동현원수","7264","3760","0","158","1876","1270","0","200"
"2017","11200","성동","1","아동정원수","8243","4173","0","202","2199","1336","0","333"
"2017","11170","용산","3","정원충족률","85.58%","84.73%","84.27%","84.49%","88.97%","93.27%","84.85%","71.39%"
"2017","11170","용산","2","아동현원수","4753","1631","75","316","1274","915","28","514"
"2017","11170","용산","1","아동정원수","5554","1925","89","374","1432","981","33","720"
"2017","11140","중구","3","정원충족률","82.01%","87.94%","0.%","88.36%","86.87%","93.94%","0.%","67.19%"
"2017","11140","중구","2","아동현원수","3509","1699","0","334","364","248","0","864"
"2017","11140","중구","1","아동정원수","4279","1932","0","378","419","264","0","1286"
"2017","11110","종로","3","정원충족률","80.46%","84.2%","71.43%","82.55%","85.96%","93.33%","0.%","74.74%"
"2017","11110","종로","2","아동현원수","3783","1647","85","123","453","84","0","1391"
"2017","11110","종로","1","아동정원수","4702","1956","119","149","527","90","0","1861"
"2017","11000","계","3","정원충족률","87.6%","90.79%","82.88%","83.84%","86.5%","91.28%","85.67%","72.19%"
"2017","11000","계","2","아동현원수","234867","74098","1878","5337","97215","42804","795","12740"
"2017","11000","계","1","아동정원수","268100","81612","2266","6366","112384","46895","928","17649"
"2016","11000","계","1","아동정원수","270231","74851","2327","7035","117842","51025","903","16248"
"2016","11740","강동","3","정원충족률","87.33%","85.75%","93.1%","90.48%","86.68%","91.1%","0.%","87.93%"
"2016","11740","강동","2","아동현원수","11699","2841","81","152","6334","2138","0","153"
"2016","11740","강동","1","아동정원수","13396","3313","87","168","7307","2347","0","174"
"2016","11710","송파","3","정원충족률","90.69%","93.79%","96.2%","98.47%","88.69%","95.3%","87.1%","77.99%"
"2016","11710","송파","2","아동현원수","14917","3203","76","193","6913","3626","27","879"
"2016","11710","송파","1","아동정원수","16448","3415","79","196","7795","3805","31","1127"
"2016","11680","강남","3","정원충족률","86.65%","92.42%","0.%","0.%","85.69%","93.18%","93.33%","65.78%"
"2016","11680","강남","2","아동현원수","10219","4146","0","0","3473","1504","56","1040"
"2016","11680","강남","1","아동정원수","11794","4486","0","0","4053","1614","60","1581"
"2016","11650","서초","3","정원충족률","88.46%","92.87%","0.%","97.47%","92.8%","96.93%","93.9%","66.53%"
"2016","11650","서초","2","아동현원수","8804","3268","0","231","2383","1547","77","1298"
"2016","11650","서초","1","아동정원수","9953","3519","0","237","2568","1596","82","1951"
"2016","11620","관악","3","정원충족률","88.95%","88.52%","56.14%","80.15%","90.62%","93.68%","91.89%","79.24%"
"2016","11620","관악","2","아동현원수","10520","3200","96","420","4201","2046","34","523"
"2016","11620","관악","1","아동정원수","11827","3615","171","524","4636","2184","37","660"
"2016","11590","동작","3","정원충족률","88.27%","94.41%","90.29%","85.15%","83.45%","91.61%","81.63%","67.41%"
"2016","11590","동작","2","아동현원수","8826","3174","93","86","3581","1670","40","182"
"2016","11590","동작","1","아동정원수","9999","3362","103","101","4291","1823","49","270"
"2016","11560","영등포","3","정원충족률","85.24%","86.01%","86.99%","85.45%","87.98%","89.22%","0.%","76.01%"
"2016","11560","영등포","2","아동현원수","10273","2477","107","94","3922","1804","0","1869"
"2016","11560","영등포","1","아동정원수","12052","2880","123","110","4458","2022","0","2459"
"2016","11545","금천","3","정원충족률","84.41%","87.23%","98.65%","80.7%","83.48%","85.89%","64.29%","71.99%"
"2016","11545","금천","2","아동현원수","7045","2077","220","690","2885","889","9","275"
"2016","11545","금천","1","아동정원수","8346","2381","223","855","3456","1035","14","382"
"2016","11530","구로","3","정원충족률","91.73%","92.42%","89.07%","73.54%","92.55%","93.86%","99.15%","82.67%"
"2016","11530","구로","2","아동현원수","12836","3257","277","417","5407","3009","116","353"
"2016","11530","구로","1","아동정원수","13994","3524","311","567","5842","3206","117","427"
"2016","11500","강서","3","정원충족률","88.82%","86.72%","94.86%","92.94%","89.43%","92.67%","88.24%","59.34%"
"2016","11500","강서","2","아동현원수","15707","3508","277","158","7906","3542","30","286"
"2016","11500","강서","1","아동정원수","17685","4045","292","170","8840","3822","34","482"
"2016","11470","양천","3","정원충족률","87.77%","87.49%","0.%","67.01%","87.75%","89.26%","100.%","81.64%"
"2016","11470","양천","2","아동현원수","11667","3512","0","65","5048","2817","16","209"
"2016","11470","양천","1","아동정원수","13292","4014","0","97","5753","3156","16","256"
"2016","11440","마포","3","정원충족률","87.%","89.41%","0.%","65.15%","87.64%","89.74%","94.77%","75.56%"
"2016","11440","마포","2","아동현원수","8442","3193","0","329","2829","1575","145","371"
"2016","11440","마포","1","아동정원수","9703","3571","0","505","3228","1755","153","491"
"2016","11410","서대문","3","정원충족률","87.83%","90.31%","0.%","78.85%","86.24%","92.07%","90.%","79.39%"
"2016","11410","서대문","2","아동현원수","6421","2219","0","123","2658","987","18","416"
"2016","11410","서대문","1","아동정원수","7311","2457","0","156","3082","1072","20","524"
"2016","11380","은평","3","정원충족률","84.96%","91.21%","91.6%","90.09%","83.88%","83.75%","89.74%","81.58%"
"2016","11380","은평","2","아동현원수","12746","1733","120","209","9098","1489","35","62"
"2016","11380","은평","1","아동정원수","15002","1900","131","232","10846","1778","39","76"
"2016","11350","노원","3","정원충족률","88.31%","92.%","90.96%","100.%","85.74%","88.39%","100.%","78.97%"
"2016","11350","노원","2","아동현원수","12748","3289","171","20","4024","4985","30","229"
"2016","11350","노원","1","아동정원수","14436","3575","188","20","4693","5640","30","290"
"2016","11320","도봉","3","정원충족률","85.78%","90.66%","72.73%","93.24%","85.11%","85.23%","74.36%","62.89%"
"2016","11320","도봉","2","아동현원수","9044","1844","24","69","4774","2182","29","122"
"2016","11320","도봉","1","아동정원수","10543","2034","33","74","5609","2560","39","194"
"2016","11305","강북","3","정원충족률","88.14%","92.16%","83.78%","90.31%","88.33%","83.24%","96.3%","48.51%"
"2016","11305","강북","2","아동현원수","7948","1834","62","177","4891","909","26","49"
"2016","11305","강북","1","아동정원수","9017","1990","74","196","5537","1092","27","101"
"2016","11290","성북","3","정원충족률","87.21%","91.66%","80.%","87.06%","84.06%","91.32%","62.16%","56.44%"
"2016","11290","성북","2","아동현원수","10494","3109","152","955","3876","2230","23","149"
"2016","11290","성북","1","아동정원수","12033","3392","190","1097","4611","2442","37","264"
"2016","11260","중랑","3","정원충족률","88.23%","92.08%","69.3%","90.58%","86.62%","88.76%","0.%","88.61%"
"2016","11260","중랑","2","아동현원수","10558","2627","79","250","5678","1784","0","140"
"2016","11260","중랑","1","아동정원수","11966","2853","114","276","6555","2010","0","158"
"2016","11230","동대문","3","정원충족률","87.43%","87.64%","0.%","89.22%","86.23%","91.98%","0.%","73.01%"
"2016","11230","동대문","2","아동현원수","8364","2602","0","182","3576","1766","0","238"
"2016","11230","동대문","1","아동정원수","9566","2969","0","204","4147","1920","0","326"
"2016","11215","광진","3","정원충족률","86.54%","87.17%","0.%","45.58%","86.76%","91.17%","74.12%","73.48%"
"2016","11215","광진","2","아동현원수","8046","1930","0","67","4661","1228","63","97"
"2016","11215","광진","1","아동정원수","9297","2214","0","147","5372","1347","85","132"
"2016","11200","성동","3","정원충족률","86.67%","86.99%","0.%","86.63%","84.38%","90.92%","0.%","78.72%"
"2016","11200","성동","2","아동현원수","7049","3437","0","175","1971","1281","0","185"
"2016","11200","성동","1","아동정원수","8133","3951","0","202","2336","1409","0","235"
"2016","11170","용산","3","정원충족률","90.06%","90.87%","94.38%","90.11%","90.5%","93.45%","72.73%","81.79%"
"2016","11170","용산","2","아동현원수","4830","1503","84","337","1457","913","24","512"
"2016","11170","용산","1","아동정원수","5363","1654","89","374","1610","977","33","626"
"2016","11140","중구","3","정원충족률","83.32%","89.98%","0.%","85.45%","91.7%","96.82%","0.%","67.15%"
"2016","11140","중구","2","아동현원수","3446","1589","0","323","420","274","0","840"
"2016","11140","중구","1","아동정원수","4136","1766","0","378","458","283","0","1251"
"2016","11110","종로","3","정원충족률","78.98%","84.63%","72.27%","84.56%","80.24%","68.46%","0.%","73.05%"
"2016","11110","종로","2","아동현원수","3901","1668","86","126","609","89","0","1323"
"2016","11110","종로","1","아동정원수","4939","1971","119","149","759","130","0","1811"
"2016","11000","계","3","정원충족률","87.54%","89.83%","86.16%","83.13%","87.04%","90.71%","88.37%","72.62%"
"2016","11000","계","2","아동현원수","236550","67240","2005","5848","102575","46284","798","11800"
"2015","11170","용산","2","아동현원수","4883","1451","82","346","1585","919","22","478"
"2015","11740","강동","3","정원충족률","84.47%","81.67%","89.66%","87.5%","84.04%","88.28%","0.%","86.21%"
"2015","11740","강동","2","아동현원수","11525","2362","78","147","6445","2343","0","150"
"2015","11740","강동","1","아동정원수","13644","2892","87","168","7669","2654","0","174"
"2015","11710","송파","3","정원충족률","90.88%","95.47%","98.73%","88.78%","90.41%","90.04%","0.%","82.12%"
"2015","11710","송파","2","아동현원수","15215","3122","78","174","7220","3886","0","735"
"2015","11710","송파","1","아동정원수","16742","3270","79","196","7986","4316","0","895"
"2015","11680","강남","3","정원충족률","86.56%","90.92%","0.%","0.%","84.91%","92.7%","91.67%","69.51%"
"2015","11680","강남","2","아동현원수","10134","4155","0","0","3365","1574","55","985"
"2015","11680","강남","1","아동정원수","11708","4570","0","0","3963","1698","60","1417"
"2015","11650","서초","3","정원충족률","90.26%","95.54%","0.%","97.47%","90.31%","95.08%","90.24%","73.28%"
"2015","11650","서초","2","아동현원수","8656","2935","0","231","2563","1701","74","1152"
"2015","11650","서초","1","아동정원수","9590","3072","0","237","2838","1789","82","1572"
"2015","11620","관악","3","정원충족률","89.3%","90.27%","71.93%","84.4%","89.95%","90.56%","94.59%","83.79%"
"2015","11620","관악","2","아동현원수","10683","3145","123","514","4163","2150","35","553"
"2015","11620","관악","1","아동정원수","11963","3484","171","609","4628","2374","37","660"
"2015","11590","동작","3","정원충족률","87.49%","92.53%","86.41%","87.13%","83.48%","91.09%","83.67%","68.29%"
"2015","11590","동작","2","아동현원수","8873","2948","89","88","3760","1779","41","168"
"2015","11590","동작","1","아동정원수","10142","3186","103","101","4504","1953","49","246"
"2015","11560","영등포","3","정원충족률","83.49%","77.45%","89.43%","81.33%","85.1%","91.78%","0.%","79.2%"
"2015","11560","영등포","2","아동현원수","9954","1999","110","135","4181","1831","0","1698"
"2015","11560","영등포","1","아동정원수","11922","2581","123","166","4913","1995","0","2144"
"2015","11545","금천","3","정원충족률","82.46%","83.48%","98.65%","77.91%","81.15%","87.42%","42.86%","73.87%"
"2015","11545","금천","2","아동현원수","7153","1688","220","744","3026","1223","6","246"
"2015","11545","금천","1","아동정원수","8675","2022","223","955","3729","1399","14","333"
"2015","11530","구로","3","정원충족률","90.37%","91.16%","90.03%","86.07%","89.16%","93.73%","95.73%","78.88%"
"2015","11530","구로","2","아동현원수","12801","3082","280","488","5373","3141","112","325"
"2015","11530","구로","1","아동정원수","14165","3381","311","567","6026","3351","117","412"
"2015","11500","강서","3","정원충족률","89.04%","90.67%","97.26%","97.06%","87.35%","92.43%","82.35%","65.05%"
"2015","11500","강서","2","아동현원수","15561","3286","284","165","7850","3734","28","214"
"2015","11500","강서","1","아동정원수","17476","3624","292","170","8987","4040","34","329"
"2015","11470","양천","3","정원충족률","87.39%","88.23%","0.%","72.16%","85.71%","90.06%","100.%","82.13%"
"2015","11470","양천","2","아동현원수","11790","3223","0","70","5140","3171","16","170"
"2015","11470","양천","1","아동정원수","13491","3653","0","97","5997","3521","16","207"
"2015","11440","마포","3","정원충족률","84.66%","87.19%","0.%","71.75%","85.21%","87.33%","92.16%","67.16%"
"2015","11440","마포","2","아동현원수","8637","3035","0","419","3048","1634","141","360"
"2015","11440","마포","1","아동정원수","10202","3481","0","584","3577","1871","153","536"
"2015","11410","서대문","3","정원충족률","83.5%","86.27%","0.%","79.49%","82.1%","84.42%","85.%","78.74%"
"2015","11410","서대문","2","아동현원수","6467","2068","0","124","2834","1035","17","389"
"2015","11410","서대문","1","아동정원수","7745","2397","0","156","3452","1226","20","494"
"2015","11380","은평","3","정원충족률","85.45%","92.85%","90.08%","90.81%","84.42%","83.32%","84.62%","86.84%"
"2015","11380","은평","2","아동현원수","13004","1662","118","247","9250","1628","33","66"
"2015","11380","은평","1","아동정원수","15219","1790","131","272","10957","1954","39","76"
"2015","11350","노원","3","정원충족률","87.36%","87.53%","89.91%","100.%","86.95%","87.66%","100.%","80.5%"
"2015","11350","노원","2","아동현원수","12927","2844","205","20","4166","5468","30","194"
"2015","11350","노원","1","아동정원수","14797","3249","228","20","4791","6238","30","241"
"2015","11320","도봉","3","정원충족률","84.56%","93.45%","63.64%","90.54%","82.91%","82.16%","94.74%","97.14%"
"2015","11320","도봉","2","아동현원수","9155","1670","21","67","4967","2344","18","68"
"2015","11320","도봉","1","아동정원수","10827","1787","33","74","5991","2853","19","70"
"2015","11305","강북","3","정원충족률","88.38%","92.93%","89.19%","88.27%","87.83%","84.48%","100.%","86.54%"
"2015","11305","강북","2","아동현원수","8227","1655","66","173","5140","1121","27","45"
"2015","11305","강북","1","아동정원수","9309","1781","74","196","5852","1327","27","52"
"2015","11290","성북","3","정원충족률","86.16%","83.54%","79.47%","89.79%","85.99%","89.06%","70.27%","79.31%"
"2015","11290","성북","2","아동현원수","10764","2787","151","1020","4124","2541","26","115"
"2015","11290","성북","1","아동정원수","12493","3336","190","1136","4796","2853","37","145"
"2015","11260","중랑","3","정원충족률","87.57%","89.92%","79.82%","89.49%","85.56%","90.92%","0.%","89.24%"
"2015","11260","중랑","2","아동현원수","10565","2515","91","247","5689","1882","0","141"
"2015","11260","중랑","1","아동정원수","12064","2797","114","276","6649","2070","0","158"
"2015","11230","동대문","3","정원충족률","86.5%","89.12%","0.%","83.82%","83.81%","90.36%","0.%","76.17%"
"2015","11230","동대문","2","아동현원수","8444","2506","0","171","3701","1855","0","211"
"2015","11230","동대문","1","아동정원수","9762","2812","0","204","4416","2053","0","277"
"2015","11215","광진","3","정원충족률","86.66%","90.57%","0.%","47.62%","85.94%","89.31%","83.53%","73.48%"
"2015","11215","광진","2","아동현원수","8134","1843","0","70","4767","1286","71","97"
"2015","11215","광진","1","아동정원수","9386","2035","0","147","5547","1440","85","132"
"2015","11200","성동","3","정원충족률","84.17%","81.87%","0.%","82.18%","83.91%","92.23%","0.%","77.7%"
"2015","11200","성동","2","아동현원수","7005","3282","0","166","1919","1401","0","237"
"2015","11200","성동","1","아동정원수","8322","4009","0","202","2287","1519","0","305"
"2015","11170","용산","3","정원충족률","87.92%","90.63%","92.13%","92.51%","84.58%","94.06%","66.67%","78.88%"
"2015","11170","용산","1","아동정원수","5554","1601","89","374","1874","977","33","606"
"2015","11140","중구","3","정원충족률","85.47%","87.93%","0.%","85.2%","90.61%","97.31%","0.%","76.51%"
"2015","11140","중구","2","아동현원수","3476","1552","0","357","415","289","0","863"
"2015","11140","중구","1","아동정원수","4067","1765","0","419","458","297","0","1128"
"2015","11110","종로","3","정원충족률","83.62%","87.66%","77.31%","96.64%","83.37%","84.46%","0.%","77.65%"
"2015","11110","종로","2","아동현원수","4070","1741","92","144","787","125","0","1181"
"2015","11110","종로","1","아동정원수","4867","1986","119","149","944","148","0","1521"
"2015","11000","계","3","정원충족률","86.86%","88.66%","88.21%","84.64%","85.87%","89.53%","88.26%","76.72%"
"2015","11000","계","2","아동현원수","238103","62556","2088","6327","105478","50061","752","10841"
"2015","11000","계","1","아동정원수","274132","70561","2367","7475","122831","55916","852","14130"
"2014","11740","강동","2","아동현원수","12079","2242","82","153","6870","2595","0","137"
"2014","11000","계","2","아동현원수","243432","59036","2214","6844","111653","52890","715","10080"
"2014","11000","계","3","정원충족률","88.37%","89.3%","89.85%","84.61%","88.35%","90.22%","86.98%","77.66%"
"2014","11110","종로","1","아동정원수","4728","1976","119","149","950","148","0","1386"
"2014","11110","종로","2","아동현원수","4040","1766","101","139","844","130","0","1060"
"2014","11110","종로","3","정원충족률","85.45%","89.37%","84.87%","93.29%","88.84%","87.84%","0.%","76.48%"
"2014","11140","중구","1","아동정원수","4039","1807","0","427","458","317","0","1030"
"2014","11140","중구","2","아동현원수","3410","1531","0","351","426","314","0","788"
"2014","11140","중구","3","정원충족률","84.43%","84.73%","0.%","82.2%","93.01%","99.05%","0.%","76.5%"
"2014","11170","용산","1","아동정원수","5670","1535","89","453","2003","979","33","578"
"2014","11170","용산","2","아동현원수","5038","1400","75","386","1786","893","24","474"
"2014","11170","용산","3","정원충족률","88.85%","91.21%","84.27%","85.21%","89.17%","91.22%","72.73%","82.01%"
"2014","11200","성동","1","아동정원수","8210","3550","0","202","2513","1640","0","305"
"2014","11200","성동","2","아동현원수","7167","3098","0","169","2139","1504","0","257"
"2014","11200","성동","3","정원충족률","87.3%","87.27%","0.%","83.66%","85.12%","91.71%","0.%","84.26%"
"2014","11215","광진","1","아동정원수","9674","2018","0","183","5764","1492","85","132"
"2014","11215","광진","2","아동현원수","8437","1737","0","92","5060","1381","74","93"
"2014","11215","광진","3","정원충족률","87.21%","86.08%","0.%","50.27%","87.79%","92.56%","87.06%","70.45%"
"2014","11230","동대문","1","아동정원수","9697","2699","0","204","4462","2055","0","277"
"2014","11230","동대문","2","아동현원수","8625","2398","0","181","3931","1906","0","209"
"2014","11000","계","1","아동정원수","275464","66109","2464","8089","126378","58623","822","12979"
"2014","11230","동대문","3","정원충족률","88.95%","88.85%","0.%","88.73%","88.1%","92.75%","0.%","75.45%"
"2014","11260","중랑","1","아동정원수","12389","2768","114","276","6867","2206","0","158"
"2014","11260","중랑","2","아동현원수","10930","2528","89","249","5968","1958","0","138"
"2014","11260","중랑","3","정원충족률","88.22%","91.33%","78.07%","90.22%","86.91%","88.76%","0.%","87.34%"
"2014","11290","성북","1","아동정원수","12560","2769","151","1282","5195","2983","37","143"
"2014","11290","성북","2","아동현원수","10877","2355","139","1125","4513","2615","22","108"
"2014","11290","성북","3","정원충족률","86.6%","85.05%","92.05%","87.75%","86.87%","87.66%","59.46%","75.52%"
"2014","11305","강북","1","아동정원수","9695","1750","153","216","6060","1437","27","52"
"2014","11305","강북","2","아동현원수","8617","1603","114","181","5365","1279","27","48"
"2014","11305","강북","3","정원충족률","88.88%","91.6%","74.51%","83.8%","88.53%","89.%","100.%","92.31%"
"2014","11320","도봉","1","아동정원수","11151","1786","33","74","6062","3077","49","70"
"2014","11320","도봉","2","아동현원수","9562","1590","19","59","5253","2542","30","69"
"2014","11320","도봉","3","정원충족률","85.75%","89.03%","57.58%","79.73%","86.65%","82.61%","61.22%","98.57%"
"2014","11350","노원","1","아동정원수","15108","3079","228","20","4905","6541","30","305"
"2014","11350","노원","2","아동현원수","13632","2849","221","20","4447","5874","29","192"
"2014","11350","노원","3","정원충족률","90.23%","92.53%","96.93%","100.%","90.66%","89.8%","96.67%","62.95%"
"2014","11380","은평","1","아동정원수","16028","1672","131","332","11615","2163","39","76"
"2014","11380","은평","2","아동현원수","13572","1581","120","275","9747","1760","26","63"
"2014","11380","은평","3","정원충족률","84.68%","94.56%","91.6%","82.83%","83.92%","81.37%","66.67%","82.89%"
"2014","11410","서대문","1","아동정원수","7958","2308","0","156","3799","1181","20","494"
"2014","11410","서대문","2","아동현원수","6799","2073","0","141","3155","1039","16","375"
"2014","11410","서대문","3","정원충족률","85.44%","89.82%","0.%","90.38%","83.05%","87.98%","80.%","75.91%"
"2014","11440","마포","1","아동정원수","9988","3405","0","604","3423","1951","153","452"
"2014","11440","마포","2","아동현원수","8583","2940","0","436","3009","1725","139","334"
"2014","11440","마포","3","정원충족률","85.93%","86.34%","0.%","72.19%","87.91%","88.42%","90.85%","73.89%"
"2014","11470","양천","1","아동정원수","13796","3495","0","222","6194","3628","16","241"
"2014","11470","양천","2","아동현원수","12049","2974","0","166","5421","3286","16","186"
"2014","11470","양천","3","정원충족률","87.34%","85.09%","0.%","74.77%","87.52%","90.57%","100.%","77.18%"
"2014","11500","강서","1","아동정원수","17387","3585","344","170","8880","4214","34","160"
"2014","11500","강서","2","아동현원수","15441","2948","337","167","7960","3886","29","114"
"2014","11500","강서","3","정원충족률","88.81%","82.23%","97.97%","98.24%","89.64%","92.22%","85.29%","71.25%"
"2014","11530","구로","1","아동정원수","14118","3191","311","567","6157","3406","117","369"
"2014","11530","구로","2","아동현원수","12899","2806","293","501","5620","3239","117","323"
"2014","11530","구로","3","정원충족률","91.37%","87.93%","94.21%","88.36%","91.28%","95.1%","100.%","87.53%"
"2014","11545","금천","1","아동정원수","8653","1686","223","995","3848","1554","14","333"
"2014","11545","금천","2","아동현원수","7419","1472","223","823","3280","1356","11","254"
"2014","11545","금천","3","정원충족률","85.74%","87.31%","100.%","82.71%","85.24%","87.26%","78.57%","76.28%"
"2014","11560","영등포","1","아동정원수","11439","2023","123","166","5086","2136","0","1905"
"2014","11560","영등포","2","아동현원수","10081","1841","108","154","4543","1939","0","1496"
"2014","11560","영등포","3","정원충족률","88.13%","91.%","87.8%","92.77%","89.32%","90.78%","0.%","78.53%"
"2014","11590","동작","1","아동정원수","9803","2818","103","101","4543","1992","49","197"
"2014","11590","동작","2","아동현원수","8827","2667","84","97","3936","1858","42","143"
"2014","11590","동작","3","정원충족률","90.04%","94.64%","81.55%","96.04%","86.64%","93.27%","85.71%","72.59%"
"2014","11620","관악","1","아동정원수","12186","3221","171","609","4946","2551","37","651"
"2014","11620","관악","2","아동현원수","11169","2944","132","530","4650","2356","37","520"
"2014","11620","관악","3","정원충족률","91.65%","91.4%","77.19%","87.03%","94.02%","92.36%","100.%","79.88%"
"2014","11650","서초","1","아동정원수","9194","2811","0","237","2934","1825","82","1305"
"2014","11740","강동","3","정원충족률","88.32%","88.2%","94.25%","91.07%","88.62%","87.88%","0.%","78.74%"
"2014","11650","서초","2","아동현원수","8665","2710","0","232","2821","1781","76","1045"
"2014","11650","서초","3","정원충족률","94.25%","96.41%","0.%","97.89%","96.15%","97.59%","92.68%","80.08%"
"2014","11680","강남","1","아동정원수","11264","4478","0","0","3767","1672","0","1347"
"2014","11680","강남","2","아동현원수","10041","4070","0","0","3446","1579","0","946"
"2014","11680","강남","3","정원충족률","89.14%","90.89%","0.%","0.%","91.48%","94.44%","0.%","70.23%"
"2014","11710","송파","1","아동정원수","17053","3137","84","276","8195","4522","0","839"
"2014","11710","송파","2","아동현원수","15473","2913","77","217","7463","4095","0","708"
"2014","11710","송파","3","정원충족률","90.73%","92.86%","91.67%","78.62%","91.07%","90.56%","0.%","84.39%"
"2014","11740","강동","1","아동정원수","13676","2542","87","168","7752","2953","0","174"
